Frage;Option A;Option B;Option C;Option D;Antwort;Typ
Welches Gesetz regelt die Besteuerung von reinem Alkohol in Deutschland?;Biersteuergesetz;Alkoholsteuergesetz;Energiesteuergesetz;Tabaksteuergesetz;1;multiple
Wann entsteht die Kaffeesteuer im Regelfall?;Bei der Ernte;Bei der Röstung;Mit der Überführung in den steuerrechtlich freien Verkehr;Beim Verkauf an den Endkunden;2;multiple
Welches dieser Erzeugnisse unterliegt der Alkopopsteuer?;Biermischgetränke;Reiner Wein;Sekt;Zuckerhaltige Süßgetränke mit Branntwein;3;multiple
Wer ist in Deutschland für die Erhebung der Verbrauchsteuern zuständig?;Das Finanzamt;Die Gemeindeverwaltung;Die Zollverwaltung;Die Bundesbank;2;multiple
Was versteht man unter einem Steueraussetzungsverfahren?;Die Steuer wird erlassen;Die Steuerzahlung wird zeitlich verschoben, solange sich die Ware im Lager befindet;Die Ware ist steuerfrei;Der Steuersatz wird gesenkt;1;multiple
Welche Steuer fällt bei der Entnahme von Strom aus dem Versorgungsnetz an?;Ökosteuer;Stromsteuer;Netznutzungssteuer;Wattsteuer;1;multiple
Unterliegt alkoholfreies Bier der Biersteuer?;"Ja, immer;Nur wenn es aus dem Ausland kommt";Nein;Nur wenn es mehr als 0,5% Vol. hat;Nein;1;multiple
"Was ist ein ""Steuerlager""?";Ein Ort, an dem nur versteuerte Waren liegen;Ein Ort, an dem verbrauchsteuerpflichtige Waren unter Steueraussetzung hergestellt oder gelagert werden;Ein Tresor beim Zoll;Ein Supermarkt;1;multiple
Welches Dokument begleitet Waren im Steueraussetzungsverfahren innerhalb der EU?;Lieferschein;Rechnung;e-VD (elektronisches Verwaltungsdokument);Frachtbrief;2;multiple
Wie wird die Tabaksteuer bei Zigaretten berechnet?;Nur nach Gewicht;Nur nach der Anzahl;Kombiniert aus einem Kleinverkaufspreis-Anteil und einem Stückzahl-Anteil;Nach der Länge der Zigarette;2;multiple
